property_id,airbnb_property_id,vrbo_property_id,listing_type,bedrooms,bathrooms,accommodates,rating,reviews,title,revenue_ltm,revenue_potential_ltm,occupancy_rate_ltm,average_daily_rate_ltm,days_available_ltm,market_id,market_name,currency,address_match_confidence,lat,lng,submarket
abnb_32759456,32759456,,entire_place,9.0,9.5,16.0,4.9,86.0,"Atypical pool house, ciudad colonial",410356485.45,530998746.27,56.34,2564727.85,284.0,84832,Santo Domingo City,cop,High,18.4694,-69.8886,141879
abnb_692861023703388991,692861023703388991,,entire_place,4.0,4.0,8.0,5.0,96.0,Beautiful and comfortable house in the Colonial City,369750412.4,383869616.13,76.07,1384833.05,351.0,84832,Santo Domingo City,cop,Low,18.46978,-69.88888,141879
abnb_30975786,30975786,,entire_place,4.0,4.5,10.0,4.9,359.0,Casa Pantheon Luxury Colonial House,366298400.95,407723345.41,65.56,1688011.04,331.0,84832,Santo Domingo City,cop,Medium,18.475,-69.8837,141879
abnb_43906454,43906454,,entire_place,8.0,8.5,16.0,4.7,11.0,FIXIE Lofts: Elegant Colonial Villa with Pool,314683309.45,363386165.23,37.83,3115676.33,267.0,84832,Santo Domingo City,cop,Low,18.47537,-69.88603,141879
abnb_1356484904752149472,1356484904752149472,11985665ha,entire_place,4.0,4.0,8.0,5.0,4.0,Domus Santa Barbara Sleeps 8,313366335.9,363425674.44,91.89,1316665.22,259.0,84832,Santo Domingo City,cop,Low,18.480122875,-69.88428607,141879
abnb_1306583147460525554,1306583147460525554,,entire_place,4.0,4.5,8.0,5.0,36.0,Stunning villa in Zona Colonial,270698593.95,288910210.45,41.94,1892997.24,341.0,84832,Santo Domingo City,cop,Low,18.470111629,-69.889588185,141879
abnb_1330560754600057667,1330560754600057667,,entire_place,5.0,5.5,10.0,5.0,1.0,Colonial Oasis,267939919.55,343487135.11,53.72,1685156.73,296.0,84832,Santo Domingo City,cop,Low,18.4690189,-69.88943347,141879
abnb_50379512,50379512,4385736,entire_place,6.0,4.5,8.0,4.8,124.0,Casa RossAmor,255775339.35,266845620.91,45.14,1618831.3,350.0,84832,Santo Domingo City,cop,Low,18.4756,-69.88578,141879
abnb_1171134678915780670,1171134678915780670,,entire_place,4.0,4.5,10.0,4.9,31.0,"Casa del Orfebre, circa 1525",249443594.65,270555010.82,34.73,2309662.98,311.0,84832,Santo Domingo City,cop,Low,18.47691,-69.88561,141879
abnb_1372343444900952672,1372343444900952672,4377368,entire_place,6.0,6.5,12.0,5.0,1.0,SD 6BR Ocean View Residence + Free Bonus,234623056.65,380759724.33,52.58,2300226.0,194.0,84832,Santo Domingo City,cop,Low,18.468386304,-69.888211021,141879
abnb_1391855584302916644,1391855584302916644,7953621ha,entire_place,7.0,7.5,14.0,5.0,3.0,Family house,198863006.05,297955104.08,50.79,2071489.56,189.0,84832,Santo Domingo City,cop,Low,18.468656183,-69.888227102,141879
abnb_916855563564509892,916855563564509892,,entire_place,3.0,3.0,6.0,5.0,14.0,Steel-Loft - Whole house with sea-view terrace,145483390.1,189856924.62,77.86,713153.87,262.0,84832,Santo Domingo City,cop,Medium,18.469071,-69.8884813,141879
abnb_5862079,5862079,,entire_place,2.0,2.5,6.0,4.9,434.0,Gorgeous Colonial House near Cafes and Bars,145432031.8,152031720.09,70.57,588793.67,350.0,84832,Santo Domingo City,cop,Medium,18.4711,-69.8848,141879
abnb_1340052958129368617,1340052958129368617,11773474ha,entire_place,3.0,3.5,8.0,5.0,14.0,Gorgeous intimate Villa with private pool,134151548.05,142179033.76,20.3,2002261.91,330.0,84832,Santo Domingo City,cop,Medium,18.4716,-69.8881,141879
abnb_45343204,45343204,9466303ha,entire_place,2.0,1.5,4.0,4.8,116.0,2 story Apartment Suite with pool & balcony,119364026.1,123213404.05,63.84,528159.4,354.0,84832,Santo Domingo City,cop,Low,18.47528,-69.88593,141879
abnb_1371041850142112628,1371041850142112628,,entire_place,3.0,3.0,6.0,4.9,38.0,Juanchy's House - A Unique Stay w/Plunge Pool,113446816.25,139523002.59,65.4,600247.71,289.0,84832,Santo Domingo City,cop,Low,18.469847097,-69.887910773,141879
abnb_823986311949199033,823986311949199033,3852232,entire_place,2.0,2.0,5.0,5.0,81.0,Lux 2-Level Townhouse with Stunning Historic Views,110090184.5,119888174.24,34.34,965703.32,332.0,84832,Santo Domingo City,cop,High,18.46965,-69.88706,141879
abnb_52970600,52970600,,entire_place,4.0,4.5,8.0,4.9,37.0,Casa Erzulie - Enjoy the colonial city,109018997.1,112003134.44,48.89,707915.58,315.0,84832,Santo Domingo City,cop,Low,18.46891,-69.8888,141879
