property_id,airbnb_property_id,vrbo_property_id,listing_type,bedrooms,bathrooms,accommodates,rating,reviews,title,revenue_ltm,revenue_potential_ltm,occupancy_rate_ltm,average_daily_rate_ltm,days_available_ltm,market_id,market_name,currency,lat,lng,section
abnb_1130020133431061138,1130020133431061138,,entire_place,3,2.0,6,5.0,11.0,A beautiful apartment in Bogota,28539613.98,28539613.98,72.33,108104.6,365,12,Bogotá,cop,4.58372,-74.09941,142649
abnb_925525563432701407,925525563432701407,,entire_place,3,2.0,7,4.7,36.0,Apartment in South Bogotá,22778614.8,23988387.77,53.52,130163.51,327,12,Bogotá,cop,4.5947,-74.114,142649
abnb_1094767315053819896,1094767315053819896,,entire_place,3,1.0,3,4.0,10.0,Entire apartment in south central Bogota,22472688.42,22472688.42,65.75,93636.2,365,12,Bogotá,cop,4.5873,-74.1038,142649
abnb_986936371067301197,986936371067301197,,entire_place,3,2.0,6,4.9,35.0,Modern Apartment in Bogotá,22443201.54,24076037.52,49.69,138538.28,326,12,Bogotá,cop,4.5823,-74.0959,142649
abnb_1102170020457245590,1102170020457245590,,entire_place,3,1.0,3,4.0,7.0,Entire apartment in Bogotá,21127349.52,21197749.45,68.96,84172.71,364,12,Bogotá,cop,4.58779,-74.10299,142649
abnb_1079677265004150019,1079677265004150019,,entire_place,3,1.0,4,4.7,7.0,Apartment in Bogota,20751391.8,20814530.58,71.43,79813.05,364,12,Bogotá,cop,4.58783,-74.10486,142649
abnb_1356060703078375589,1356060703078375589,,entire_place,1,1.0,7,4.7,34.0,Aqua Loft • Modern Charm by the Historic Center,19892586.42,22312648.38,52.94,122793.75,306,12,Bogotá,cop,4.585628956,-74.093628806,142649
abnb_1092864894605263949,1092864894605263949,,entire_place,3,1.0,5,4.4,7.0,Stay in Bogotá. Comfortable apartment,19479770.1,19479770.1,65.48,81505.31,365,12,Bogotá,cop,4.58802,-74.10436,142649
abnb_972509250483239673,972509250483239673,,entire_place,2,1.5,3,5.0,35.0,Charming private studio-Tina,18949006.26,19264552.73,83.57,63163.36,359,12,Bogotá,cop,4.59086,-74.11318,142649
abnb_767318887564026231,767318887564026231,,entire_place,2,1.0,4,4.9,42.0,Comfortable and pleasant apartment.,17695813.86,18014751.33,75.14,65783.7,358,12,Bogotá,cop,4.588583624,-74.114462882,142649
abnb_614283228370863028,614283228370863028,4517172,entire_place,2,1.0,3,4.9,40.0,"With the best view of the city, nice and modern.",17043416.64,18735226.38,67.16,75081.13,338,12,Bogotá,cop,4.59296,-74.10788,142649
abnb_1044134233845490696,1044134233845490696,,entire_place,3,1.0,8,4.8,104.0,Reyes House Bogotá Restrepo headquarters,15642789.84,16198543.81,72.49,61829.21,349,12,Bogotá,cop,4.5898,-74.1048,142649
abnb_1103185780051754018,1103185780051754018,,entire_place,1,1.0,4,5.0,18.0,Apartment in Bogota,14883502.68,14999680.99,56.79,72602.45,361,12,Bogotá,cop,4.5841,-74.0998,142649
abnb_1064034562563770728,1064034562563770728,,entire_place,4,2.0,7,4.9,15.0,Beautiful and spacious family house,13210122.24,27132979.23,73.01,111009.43,163,12,Bogotá,cop,4.59687,-74.10615,142649
abnb_1116738354982760865,1116738354982760865,,entire_place,3,1.0,9,5.0,70.0,New apartment for 8 people - Spacious and central,12804677.64,13434775.41,61.21,60115.85,348,12,Bogotá,cop,4.58937,-74.11325,142649
vrbo_20155138ha,,20155138ha,entire_place,1,1.0,2,,,Lovely Studio in Candelaria,12778876.62,17430911.1,44.17,140427.21,206,12,Bogotá,cop,4.58308,-74.10322,142649
abnb_1244242388165660138,1244242388165660138,,entire_place,2,1.0,4,4.8,12.0,Casa Terán,12178081.44,12178081.44,55.7,73361.93,298,12,Bogotá,cop,4.57912,-74.09229,142649
abnb_990026291394754761,990026291394754761,,entire_place,3,1.0,4,4.8,84.0,Apartment 2 minutes away from La Valvanera Park,12159652.14,12447370.37,62.25,55021.05,355,12,Bogotá,cop,4.589834,-74.104843,142649
abnb_1275641923517331940,1275641923517331940,,entire_place,1,1.0,2,4.6,11.0,Entire apartment in Bogotá,12137536.98,12137536.98,39.45,84288.45,365,12,Bogotá,cop,4.587816153,-74.104413986,142649
abnb_983434577129160543,983434577129160543,,entire_place,3,2.0,8,4.9,8.0,A magical place,12074877.36,14959541.97,62.15,77403.06,251,12,Bogotá,cop,4.5917,-74.1051,142649
abnb_1274487515029661892,1274487515029661892,,entire_place,1,1.0,2,4.9,10.0,Entire studio apartment in Bogotá,11964301.56,11964301.56,39.73,82512.43,365,12,Bogotá,cop,4.588039108,-74.104342474,142649
abnb_1274221743848393320,1274221743848393320,,entire_place,1,1.0,2,4.7,32.0,Comfortable studio apartment in Bogotá,11938500.54,12099130.32,40.28,82334.48,360,12,Bogotá,cop,4.5874,-74.1038,142649
abnb_1468251934653177303,1468251934653177303,,entire_place,3,2.0,6,4.9,8.0,Luxury apartment/Central/Private Parking/Gated Community/WiFi,11728406.52,35207076.71,83.56,192268.95,73,12,Bogotá,cop,4.5901439,-74.101519,142649
abnb_1350124649080658426,1350124649080658426,,entire_place,1,1.0,2,5.0,3.0,Comfortable apartment near the historic center and Restrepo,10703737.44,14340206.92,71.08,60473.09,249,12,Bogotá,cop,4.5933,-74.099,142649
abnb_1362265298114081432,1362265298114081432,,entire_place,1,1.0,2,4.5,2.0,Apartment in Bogota,10254062.52,11558856.96,60.36,61771.46,275,12,Bogotá,cop,4.584517402,-74.098704974,142649
abnb_1142663911912508878,1142663911912508878,,private_room,1,1.0,3,4.9,48.0,"Bedroom, kitchen and private bathroom. Special rate",8982440.82,8982440.82,74.06,50748.25,239,12,Bogotá,cop,4.59115,-74.11399,142649
abnb_1541406898466109971,1541406898466109971,,entire_place,2,1.0,4,5.0,1.0,|Ahead| Stylish 2BR @Commercial Area near Zona G,8905037.76,27771959.92,69.49,217196.05,59,12,Bogotá,cop,4.581113775,-74.091203033,142649
abnb_53264553,53264553,,entire_place,2,2.0,3,4.9,17.0,Comfortable and cozy family apartment.,8857121.58,8857121.58,66.5,65608.31,203,12,Bogotá,cop,4.5934549,-74.108024,142649
abnb_708416421967855011,708416421967855011,,entire_place,2,1.0,4,4.5,26.0,"Candelaria apartment, Restrepo, Olaya",7227971.46,7648528.09,53.85,49169.87,273,12,Bogotá,cop,4.59122,-74.09782,142649
abnb_1451520598126023456,1451520598126023456,,entire_place,1,1.0,3,5.0,37.0,Apartment in Bogotá,6085354.86,10288341.02,49.73,66145.16,185,12,Bogotá,cop,4.59455,-74.11737,142649
abnb_1492376629570658740,1492376629570658740,,entire_place,2,1.0,4,4.8,4.0,Entire apartment in Bogotá,5886318.42,16029289.12,54.62,90558.75,119,12,Bogotá,cop,4.586982225,-74.103106089,142649
abnb_1492375006341199050,1492375006341199050,,entire_place,2,1.0,4,5.0,5.0,Comfortable apartment in Bogotá,5727826.44,15861840.5,53.78,89497.29,119,12,Bogotá,cop,4.5871,-74.1044,142649
abnb_800507156207019571,800507156207019571,,entire_place,2,1.0,5,4.8,48.0,Apartment near La Candelaria,5469816.24,8303689.7,51.58,55814.45,190,12,Bogotá,cop,4.590223689,-74.098447012,142649
abnb_1415356835019039066,1415356835019039066,4603646,entire_place,2,2.0,4,4.8,8.0,Modern two-bedroom apartment in Bogota,5079115.08,5199532.13,20.92,158722.35,153,12,Bogotá,cop,4.590972916,-74.115168155,142649
abnb_1237263880110808248,1237263880110808248,,entire_place,2,1.0,4,4.9,17.0,"Apartamento Restrepo, UNAD",5001712.02,5001712.02,74.36,57490.94,117,12,Bogotá,cop,4.5901,-74.1025,142649
abnb_1130450644073109518,1130450644073109518,,private_room,1,1.0,2,,,Room in apartment,5001712.02,5001712.02,51.2,58843.67,166,12,Bogotá,cop,4.58372,-74.10014,142649
abnb_1126782129856404834,1126782129856404834,,entire_place,1,1.0,2,4.9,14.0,Bright room with independent bathroom,4692099.78,4746429.36,40.6,43445.37,266,12,Bogotá,cop,4.5912,-74.1163,142649
abnb_1310447109712253980,1310447109712253980,,entire_place,1,1.0,4,,,Apartment in Bogota,4629440.16,4668805.14,28.25,92588.8,177,12,Bogotá,cop,4.5841,-74.0998,142649
abnb_888663653972153489,888663653972153489,,private_room,1,1.0,1,4.5,2.0,Private /Spacious Room/Stylish/,4360372.38,5073954.88,85.02,17870.38,287,12,Bogotá,cop,4.59285,-74.1216,142649
abnb_1130469009784549330,1130469009784549330,,private_room,0,1.0,2,,,Room in apartment,4282969.32,4282969.32,60.56,49801.97,142,12,Bogotá,cop,4.5839,-74.10086,142649
abnb_1130461325414723850,1130461325414723850,,private_room,0,1.0,2,,,Room in apartment,4106048.04,4106048.04,60.29,50073.76,136,12,Bogotá,cop,4.58387,-74.10027,142649
abnb_952307188845554449,952307188845554449,,entire_place,0,1.0,3,5.0,12.0,Cozy apartment to rest or work,4102362.18,4102362.18,42.01,57779.75,169,12,Bogotá,cop,4.5898,-74.1065,142649
abnb_1446901921497070094,1446901921497070094,,entire_place,1,1.0,3,5.0,2.0,Elegant loft apartment in Bogotá! 504,3921755.04,12161937.37,43.0,91203.61,100,12,Bogotá,cop,4.5911,-74.1105,142649
abnb_1556795783248707855,1556795783248707855,,entire_place,3,2.0,6,,,Apartment in Bogota,3206698.2,15577181.53,67.57,128267.93,37,12,Bogotá,cop,4.583163359,-74.100311506,142649
abnb_1023164047289080887,1023164047289080887,,entire_place,2,1.0,4,4.8,8.0,Spacious apartment for 6 in Bogotá,2325777.66,2357844.64,47.47,49484.63,99,12,Bogotá,cop,4.58951,-74.10558,142649
abnb_886956913260803841,886956913260803841,,entire_place,2,1.0,2,4.4,9.0,Separate apartment near candelaria ycentro,2086196.76,2086196.76,38.89,42575.45,126,12,Bogotá,cop,4.5926,-74.1007,142649
abnb_1554406530823902369,1554406530823902369,,entire_place,2,1.0,3,,,Apartment with a panoramic view,1931390.64,29312907.41,32.5,148568.51,40,12,Bogotá,cop,4.576349821,-74.09464966,142649
abnb_1449246990513467508,1449246990513467508,,entire_place,3,2.0,6,3.5,2.0,Luxury apartment/Central/Private Parking/Gated community,1780270.38,13243073.83,19.05,222533.8,42,12,Bogotá,cop,4.5901439,-74.101519,142649
abnb_1306032576615319273,1306032576615319273,,entire_place,2,1.0,4,5.0,4.0,"Restrepo, UNAD, HOMI, Central",1238448.96,4135534.92,87.5,58973.76,24,12,Bogotá,cop,4.590299001,-74.102672417,142649
abnb_764337984990360574,764337984990360574,,private_room,4,1.5,5,3.3,3.0,La Fraguita Guesthouse,973067.04,973067.04,6.9,162177.84,87,12,Bogotá,cop,4.59038,-74.09887,142649
abnb_1582190300043053585,1582190300043053585,,entire_place,3,2.0,5,,,Luxury Apartment/Central/Spacious/Gated Community/WiFi,770344.74,14728254.26,83.33,154068.95,6,12,Bogotá,cop,4.5901,-74.1015,142649
abnb_905848700412200040,905848700412200040,,private_room,0,1.0,1,,,Beautiful room for a lady,641339.64,641339.64,51.79,22115.16,56,12,Bogotá,cop,4.58044,-74.10079,142649
abnb_1549556571789615134,1549556571789615134,,entire_place,1,1.0,4,5.0,1.0,Vrliving 210 Duplex Apartment,593423.46,13396073.88,17.95,84774.78,39,12,Bogotá,cop,4.5911072,-74.1105651,142649
abnb_1515974251197680944,1515974251197680944,,entire_place,2,1.0,4,,,"Apartment near hospitals, Restrepo and downtown",412816.32,11892611.58,21.88,58973.76,32,12,Bogotá,cop,4.590265323,-74.098467529,142649
abnb_817371413430863913,817371413430863913,,private_room,1,2.0,2,5.0,1.0,Creative Cultural Co-living  | LTC,387015.3,387015.3,20.59,55287.9,34,12,Bogotá,cop,4.5929,-74.0955,142649
abnb_1447506652721436136,1447506652721436136,,entire_place,1,1.0,3,5.0,1.0,Wonderful loft apartment! 502,235895.04,235895.04,6.9,117947.52,29,12,Bogotá,cop,4.5911072,-74.1105651,142649
