property_id,airbnb_property_id,vrbo_property_id,listing_type,bedrooms,bathrooms,accommodates,rating,reviews,title,revenue_ltm,revenue_potential_ltm,occupancy_rate_ltm,average_daily_rate_ltm,days_available_ltm,market_id,market_name,currency,address_match_confidence,lat,lng,section
abnb_748307529588850122,748307529588850122,,entire_place,3,2.0,4.0,4.8,36.0,Magnificent and comfortable furnished apartment #504,36390495.78,37761893.71,66.48,156855.58,349,12,Bogotá,cop,Medium,4.5879,-74.1262,142659
abnb_1482654947799536228,1482654947799536228,,entire_place,1,1.0,2.0,5.0,1.0,Luxury penthouse with private pool,34484906.16,49493470.07,49.53,650658.6,107,12,Bogotá,cop,Low,4.5876,-74.12013,142659
abnb_943474576819781088,943474576819781088,,entire_place,3,2.0,4.0,4.6,8.0,Magnificent  comfortable Apt #404,31285579.68,33009161.53,60.69,148978.96,346,12,Bogotá,cop,Low,4.58904193,-74.125862795,142659
abnb_671166803482047558,671166803482047558,,entire_place,3,2.0,4.0,4.7,40.0,Magnificent and comfortable furnished apartment # 704,29958670.08,32533169.57,58.73,153634.21,332,12,Bogotá,cop,Medium,4.5879,-74.1262,142659
abnb_37218136,37218136,,entire_place,1,2.0,7.0,5.0,125.0,Save on your beautiful and comfortable penthouse with a Jacuzzi,28082567.34,28458193.33,60.53,135664.58,342,12,Bogotá,cop,Low,4.58716,-74.1158,142659
abnb_943515820500056201,943515820500056201,,entire_place,2,1.0,3.0,4.7,19.0,Magnificent Able Furniture #305,27529688.34,27612288.46,57.97,130472.46,364,12,Bogotá,cop,Low,4.587290091,-74.12591168,142659
abnb_671152519878373508,671152519878373508,,entire_place,1,1.0,2.0,4.9,29.0,Magnificent and comfortable furnished apartment # 303,27415426.68,28631723.62,74.35,106261.35,347,12,Bogotá,cop,Medium,4.5879,-74.1262,142659
abnb_712258145179786479,712258145179786479,,entire_place,3,2.0,4.0,4.5,15.0,Avanzzare Building 204 T1 with Elevator,23018195.7,24381374.16,52.46,154484.53,284,12,Bogotá,cop,High,4.58796,-74.1267,142659
abnb_1384969734994180491,1384969734994180491,,entire_place,2,1.0,3.0,4.8,5.0,Furnished Apartment #505,21617568.9,24954451.68,64.91,125683.55,265,12,Bogotá,cop,Low,4.588940864,-74.125626188,142659
abnb_50683209,50683209,,entire_place,3,2.0,9.0,5.0,138.0,"Beautiful apartment overlooking downtown, with a jacuzzi and a warm terrace full of plants, 360-degree viewpoint",19413424.62,19942529.82,32.77,167357.11,354,12,Bogotá,cop,Low,4.58634,-74.1144,142659
abnb_1229982182717958431,1229982182717958431,4237382,entire_place,2,1.0,4.0,4.8,26.0,Welcome Home,18090200.88,18090200.88,58.97,87392.27,351,12,Bogotá,cop,High,4.581327857,-74.110369696,142659
abnb_712251292947740905,712251292947740905,,entire_place,1,1.0,2.0,5.0,3.0,Avanzzare 603-T1 Building with elevator,17913279.6,18729623.87,46.13,120223.35,323,12,Bogotá,cop,High,4.58829,-74.12713,142659
abnb_811510594174091236,811510594174091236,,entire_place,1,1.0,3.0,5.0,10.0,Renovated Glamorous APT Fully EQ,16324673.94,17598507.16,85.76,57684.36,330,12,Bogotá,cop,Medium,4.5729,-74.1076,142659
abnb_1384762324799938572,1384762324799938572,,entire_place,2,1.0,3.0,5.0,4.0,Magnificent Apartment # 205,15672276.72,19721746.81,48.06,126389.32,258,12,Bogotá,cop,Low,4.58711,-74.1255,142659
abnb_962231627163082230,962231627163082230,,entire_place,1,1.0,2.0,5.0,9.0,Studio apartment 5 minutes from Centro Mayor,15443753.4,15576591.79,81.72,52351.71,361,12,Bogotá,cop,Medium,4.5909,-74.1273,142659
abnb_1498673261614297084,1498673261614297084,,entire_place,3,1.0,10.0,5.0,1.0,Family apartment 15 minutes from Monserrate,14699209.68,29499927.94,86.09,148476.87,115,12,Bogotá,cop,High,4.588,-74.1139,142659
