id,listing_count,name,rent_entire_place,rent_min_stay_1_nights,rent_min_stay_2_nights,rent_min_stay_30_nights,rent_min_stay_3_nights,rent_min_stay_4_nights,rent_min_stay_7_nights,rent_private_room,rent_shared_room,rent_size_1_bedroom,rent_size_2_bedroom,rent_size_3_bedroom,rent_size_4_bedroom,rent_size_5_bedroom
141029,3895,Usaquen,3367.0,1786.0,904.0,488.0,257.0,225.0,234.0,526.0,2.0,2527.0,966.0,320.0,58.0,24.0
141883,6261,Chapinero,5781.0,2988.0,1510.0,508.0,642.0,251.0,359.0,474.0,6.0,4822.0,963.0,310.0,94.0,72.0
142649,56,Antonio Narino,48.0,30.0,17.0,1.0,7.0,0.0,1.0,8.0,,22.0,17.0,15.0,2.0,0.0
142650,1071,Barrios Unidos,852.0,502.0,331.0,56.0,110.0,35.0,35.0,218.0,1.0,882.0,124.0,38.0,12.0,15.0
142651,17,Bosa          ,13.0,3.0,5.0,3.0,3.0,1.0,2.0,4.0,,4.0,13.0,0.0,0.0,0.0
142652,592,Candelaria    ,417.0,379.0,136.0,22.0,31.0,10.0,14.0,169.0,6.0,494.0,64.0,22.0,5.0,7.0
142654,1162,Engativa      ,773.0,778.0,176.0,62.0,88.0,37.0,21.0,384.0,5.0,715.0,291.0,105.0,30.0,21.0
142655,913,Fontibon      ,629.0,538.0,140.0,82.0,50.0,37.0,64.0,281.0,3.0,455.0,261.0,167.0,18.0,12.0
142656,288,Kennedy       ,221.0,110.0,82.0,29.0,32.0,22.0,13.0,67.0,,101.0,104.0,78.0,2.0,3.0
142658,202,Puente Aranda ,172.0,97.0,51.0,15.0,23.0,10.0,6.0,30.0,,100.0,81.0,18.0,0.0,3.0
142659,71,Rafael Uribe  ,63.0,32.0,11.0,3.0,23.0,1.0,1.0,8.0,,26.0,31.0,14.0,0.0,0.0
142660,77,San Cristobal ,59.0,31.0,22.0,4.0,8.0,10.0,2.0,18.0,,24.0,38.0,12.0,3.0,0.0
142661,2312,Santa Fe      ,2013.0,1202.0,648.0,156.0,160.0,70.0,76.0,287.0,12.0,1981.0,248.0,45.0,18.0,20.0
142663,1194,Suba          ,836.0,429.0,241.0,173.0,184.0,71.0,96.0,358.0,,733.0,249.0,154.0,32.0,26.0
142664,3221,Teusaquillo   ,2444.0,1905.0,678.0,157.0,262.0,130.0,86.0,771.0,6.0,2705.0,303.0,154.0,26.0,31.0
142665,18,Tunjuelito    ,17.0,4.0,13.0,0.0,0.0,1.0,0.0,1.0,,5.0,13.0,0.0,0.0,0.0
248952,3218,Localidad Teusaquillo,2441.0,1902.0,678.0,157.0,262.0,130.0,86.0,771.0,6.0,2702.0,303.0,154.0,26.0,31.0
249130,803,Chapinero Alto,679.0,356.0,160.0,97.0,104.0,33.0,53.0,124.0,,642.0,112.0,31.0,6.0,12.0
